"","data","R_lowerCI","R_medio","R_upperCI"
"85",2020-04-28,0.637917981743842,0.6549486992513,0.67220064665621
"86",2020-04-29,0.621421005597593,0.638674986285014,0.656161940018893
"87",2020-04-30,0.606532385715426,0.624055997093805,0.641825681588544
"88",2020-05-01,0.604344241816297,0.622350757486618,0.640617919621135
"89",2020-05-02,0.595051715558152,0.61346149253277,0.632147819680394
"90",2020-05-03,0.593828321326885,0.61279347409228,0.632052573969505
"91",2020-05-04,0.558109106161824,0.577084390179177,0.59637245012292
"92",2020-05-05,0.560883063732055,0.580543943646823,0.600538775517954
"93",2020-05-06,0.557565463510985,0.577843364584904,0.598478390096981
"94",2020-05-07,0.557522558498372,0.578510499553326,0.599880802208278
"95",2020-05-08,0.566288979804214,0.58818790545607,0.61049645550197
"96",2020-05-09,0.563270414350328,0.585879791161662,0.608927825676214
"97",2020-05-10,0.591528813270022,0.615507877141556,0.63995669379731
"98",2020-05-11,0.599764892121857,0.624728519368764,0.650194008709761
"99",2020-05-12,0.603519271536468,0.629384740510956,0.655785312148881
"100",2020-05-13,0.610720464601555,0.637574583879235,0.664998382551099
"101",2020-05-14,0.612265140406855,0.639995655854529,0.668331717749102
"102",2020-05-15,0.607029014402982,0.635493813326777,0.664601653608903
"103",2020-05-16,0.633888852528714,0.663862740311421,0.694519315388731
"104",2020-05-17,0.625473535468755,0.656127340342066,0.68750415503638
"105",2020-05-18,0.63781190528677,0.66966143507147,0.702276036371291
"106",2020-05-19,0.62428964031337,0.656692473966191,0.689903571612064
"107",2020-05-20,0.640265006739483,0.674001559107419,0.708592093882403
"108",2020-05-21,0.643896614535647,0.678655606291701,0.714315450546497
"109",2020-05-22,0.62230697311487,0.657402372276863,0.693446897136931
"110",2020-05-23,0.620805220103574,0.65681591483566,0.69382752530379
"111",2020-05-24,0.61702877356292,0.653919690966156,0.691866574238956
"112",2020-05-25,0.603252376794126,0.640747903305319,0.679357931522373
"113",2020-05-26,0.601889952060081,0.640407597712453,0.680102955176795
"114",2020-05-27,0.591050629425471,0.630317638610741,0.670829616364284
"115",2020-05-28,0.588541528039754,0.628873348603775,0.670522850248566
"116",2020-05-29,0.589713718502436,0.631276413716582,0.674234360103295
"117",2020-05-30,0.610120223244025,0.653631552990861,0.698620295404946
"118",2020-05-31,0.628164718239302,0.673565667190797,0.720528215979899
"119",2020-06-01,0.63541424210686,0.682316577242325,0.730865279087693
"120",2020-06-02,0.591787189318344,0.638265419128485,0.686475662304823
"121",2020-06-03,0.583103971272621,0.630506926679242,0.679735939578864
"122",2020-06-04,0.592206471110687,0.641313595727272,0.692348824140361
"123",2020-06-05,0.630388832060865,0.682443318478098,0.736533411090036
"124",2020-06-06,0.639425631234976,0.693223928350548,0.749164189659154
"125",2020-06-07,0.676477045634248,0.733147669060744,0.792065289689431
"126",2020-06-08,0.677644371233742,0.735620124581754,0.795941535765929
"127",2020-06-09,0.75028084521351,0.812495861024187,0.877153638636145
"128",2020-06-10,0.758898623313554,0.822528656615638,0.888683712927972
"129",2020-06-11,0.771219429272055,0.836275549936301,0.903928350700555
"130",2020-06-12,0.773816433660297,0.839784399726021,0.908412260682694
"131",2020-06-13,0.779671361985712,0.846616087207671,0.916278701032931
"132",2020-06-14,0.807739080987267,0.876537832279449,0.94810825526778
"133",2020-06-15,0.793806018525209,0.862586930687477,0.934184740801875
"134",2020-06-16,0.789805925560095,0.858941170761833,0.930935627879602
"135",2020-06-17,0.762048707564853,0.830504499401432,0.901862543492019
"136",2020-06-18,0.764647218284852,0.83381428073312,0.905933281279512
"137",2020-06-19,0.737237594189521,0.805794701560377,0.877356150366026
"138",2020-06-20,0.741311786496696,0.810760874832534,0.883275050047114
"139",2020-06-21,0.726851175870671,0.796368504347541,0.869015169635816
"140",2020-06-22,0.715748440236687,0.785533197245087,0.858517545423124
"141",2020-06-23,0.704848341953254,0.774956848642551,0.848341626599509
"142",2020-06-24,0.740946345336843,0.813692590412853,0.889796441204316
"143",2020-06-25,0.755645551125642,0.829921784248464,0.907630066984232
"144",2020-06-26,0.77376961105562,0.849649854438643,0.929028456410986
"145",2020-06-27,0.791737887096157,0.869110090409139,0.95003759500529
"146",2020-06-28,0.793083338109035,0.871039521162665,0.952597791675869
"147",2020-06-29,0.811270829485775,0.890551880176787,0.973475944885541
"148",2020-06-30,0.810924802044407,0.890541544550802,0.973833000843536
"149",2020-07-01,0.846721955443473,0.928340752774752,1.01366122370297
"150",2020-07-02,0.86110428274791,0.943553427479994,1.02971798059525
"151",2020-07-03,0.828308838342268,0.909254920234613,0.99392052537299
"152",2020-07-04,0.82612309465288,0.907043150414184,0.991689776644239
"153",2020-07-05,0.835053904161301,0.916470824569178,1.00162066418124
"154",2020-07-06,0.837319864291116,0.918863775945667,1.00414232341311
"155",2020-07-07,0.878104149330848,0.961533376161761,1.04869450826131
"156",2020-07-08,0.849569470761789,0.931462751084998,1.01707015368704
"157",2020-07-09,0.84337233880743,0.924760066601415,1.00984296846903
"158",2020-07-10,0.90037311079946,0.984188699530827,1.07168099410916
"159",2020-07-11,0.911704362927326,0.995607237890889,1.08315050414151
"160",2020-07-12,0.923253002943273,1.00710196611222,1.09454320929106
"161",2020-07-13,0.914496617792528,0.997301081267797,1.0836428832563
"162",2020-07-14,0.920811934659914,1.00320600405165,1.08908016249094
"163",2020-07-15,0.906078068149424,0.987074713139413,1.07148922924097
"164",2020-07-16,0.891708706029209,0.971343271693789,1.05433509958007
"165",2020-07-17,0.880281511088226,0.958743076349972,1.04050630538383
"166",2020-07-18,0.88212307108229,0.9600717634673,1.04127347109016
"167",2020-07-19,0.89112340194639,0.968909376684126,1.04990370785208
"168",2020-07-20,0.917124496700761,0.995448848422773,1.07693671858203
"169",2020-07-21,0.901289169253567,0.978261150865447,1.05834202872258
"170",2020-07-22,0.905400938814166,0.981842518494777,1.06133777690162
"171",2020-07-23,0.928619993798212,1.00530097924002,1.08498059745539
"172",2020-07-24,0.933891037869208,1.00993430327759,1.08891148494997
"173",2020-07-25,0.962137907247401,1.03839970543338,1.11752861789887
"174",2020-07-26,0.922009649316826,0.995718945277319,1.07222230825126
"175",2020-07-27,0.905625685907455,0.977742789813689,1.05258334662923
"176",2020-07-28,0.908096217506832,0.979471086653026,1.05350768656641
"177",2020-07-29,0.902950719923468,0.973335722102329,1.04632469072914
"178",2020-07-30,0.879917883884306,0.948661693477699,1.01995425776507
"179",2020-07-31,0.834606238080786,0.900964631843006,0.969825258124523
"180",2020-08-01,0.836551915095661,0.902453763810203,0.97081864749821
"181",2020-08-02,0.84920044667787,0.915052126343084,0.983327881854253
"182",2020-08-03,0.845824033298142,0.910981601275311,0.978522465309616
"183",2020-08-04,0.835668294740574,0.899717008041988,0.966097009308764
"184",2020-08-05,0.858173746720611,0.922166771417898,0.98842824124159
"185",2020-08-06,0.87424439479582,0.937717997508609,1.00338439895309
"186",2020-08-07,0.890471764966819,0.95319322423901,1.01801898206206
"187",2020-08-08,0.882789400122735,0.943783823236009,1.00678686517887
"188",2020-08-09,0.895830654089939,0.955707394938101,1.01749369779042
"189",2020-08-10,0.896868604175092,0.955159079752894,1.01525878865385
"190",2020-08-11,0.90130197581114,0.958119775307873,1.01664969628991
"191",2020-08-12,0.88858257885879,0.943471243913061,0.999981602689098
"192",2020-08-13,0.891341024119459,0.944871354758788,0.99994060601334
"193",2020-08-14,0.915261919323166,0.968109602859004,1.022419639294
"194",2020-08-15,0.94858083721886,1.00098468762482,1.05477760123665
"195",2020-08-16,1.00136634938678,1.05378481587399,1.10752170769329
"196",2020-08-17,1.13794771241336,1.19226234591654,1.24782541490344
"197",2020-08-18,1.28484109064193,1.34070109607438,1.39773305060296
"198",2020-08-19,1.35490482415685,1.41010482562832,1.46639152023129
"199",2020-08-20,1.39051462033688,1.4441251286965,1.49873546995997
"200",2020-08-21,1.41926877443332,1.47109449007643,1.52383656121073
"201",2020-08-22,1.39341649473701,1.44252135469817,1.49246466706587
"202",2020-08-23,1.37121304783477,1.41786062625816,1.46527755627119
"203",2020-08-24,1.30021929881845,1.34381594618361,1.38812146224159
"204",2020-08-25,1.2092252937116,1.24974198708126,1.29091700810839
"205",2020-08-26,1.15064950422852,1.18893704804499,1.2278424700539
"206",2020-08-27,1.09203267786209,1.12834424687018,1.16524140136702
"207",2020-08-28,1.03587841224802,1.07047366173348,1.10562922187427
"208",2020-08-29,0.970082224607627,1.00298713484183,1.03643318022715
"209",2020-08-30,0.901266713830157,0.932596669617776,0.964454436998239
"210",2020-08-31,0.861747669017833,0.892159318687231,0.923090963818626
"211",2020-09-01,0.881288379223268,0.911937941596647,0.943104086583281
"212",2020-09-02,0.883938822924971,0.914577326963092,0.945730522682126
"213",2020-09-03,0.890900710487309,0.921626380174629,0.952865673085774
"214",2020-09-04,0.907967463985522,0.93896066339655,0.970466735306568
"215",2020-09-05,0.936516009589556,0.967949023409895,0.999893631744569
"216",2020-09-06,0.958284570186057,0.990002216582632,1.02222904853615
"217",2020-09-07,1.0173907468718,1.04994662216442,1.08300806016854
"218",2020-09-08,0.992590795442569,1.02454915047081,1.05700680407827
"219",2020-09-09,0.990766561553906,1.02249526382869,1.05471706267523
"220",2020-09-10,1.0188261193003,1.05079340132017,1.08324759359129
"221",2020-09-11,1.00674417267872,1.03828895689129,1.07031356603043
"222",2020-09-12,1.01314792917383,1.044565570555,1.07645624389618
"223",2020-09-13,1.01604053958266,1.04727025880853,1.07896610037756
"224",2020-09-14,1.0156091042006,1.04659550586124,1.07804104115009
"225",2020-09-15,1.04381912466511,1.07499038416195,1.10661385953467
"226",2020-09-16,1.06104431813263,1.09219347560449,1.12378698801014
"227",2020-09-17,1.05827264265851,1.08908114835504,1.12032553435611
"228",2020-09-18,1.07814270369794,1.1089337229046,1.14015222052687
"229",2020-09-19,1.09610736116694,1.12682628416641,1.15796382327799
"230",2020-09-20,1.11911274560473,1.1497986443898,1.18089379550597
"231",2020-09-21,1.10274495734007,1.13282955528831,1.16331338988419
"232",2020-09-22,1.08889619245476,1.11842966010357,1.14835279482302
"233",2020-09-23,1.06920319448451,1.09813745468173,1.12745263061751
"234",2020-09-24,1.04772600976421,1.07607641656234,1.10480001835301
"235",2020-09-25,1.04953842491074,1.07766079845783,1.10614980146348
"236",2020-09-26,1.04308694688532,1.07089164715128,1.09905698215736
"237",2020-09-27,1.04358410212914,1.07118025331055,1.09913151781337
"238",2020-09-28,1.09129171421026,1.11929742404731,1.14765301285047
"239",2020-09-29,1.1170247066215,1.14510185313713,1.17352265435238
"240",2020-09-30,1.21643830246939,1.24542211330421,1.2747424219621
"241",2020-10-01,1.38558312822545,1.41604435379591,1.4468321832459
"242",2020-10-02,1.48842153188316,1.51926623629431,1.55042287789778
"243",2020-10-03,1.59167805607061,1.6226191013883,1.6538538605891
"244",2020-10-04,1.64374240934489,1.67404474400988,1.70462000518996
"245",2020-10-05,1.72272508439642,1.75248292100676,1.78249204220077
"246",2020-10-06,1.75466952603823,1.78334724462569,1.81225419498965
"247",2020-10-07,1.76293050845751,1.79030031143546,1.81787802033906
"248",2020-10-08,1.72244751214931,1.74817315770164,1.7740868532921
"249",2020-10-09,1.70983243476027,1.73422586735084,1.75878968228715
"250",2020-10-10,1.71414213474948,1.73740534827477,1.76082318552806
"251",2020-10-11,1.66951496763232,1.69138766211777,1.713400734955
"252",2020-10-12,1.68715396592531,1.70813710551489,1.72924812926259
"253",2020-10-13,1.6863621356833,1.70638454225325,1.72652347811027
"254",2020-10-14,1.67325883089591,1.6922985971957,1.71144458714593
"255",2020-10-15,1.67652494459799,1.69472922433466,1.7130304459896
"256",2020-10-16,1.68543704570323,1.70287462613382,1.72040070718322
"257",2020-10-17,1.65822274412866,1.67474425061703,1.69134652268777
"258",2020-10-18,1.65051100400979,1.66627037136667,1.6821035834843
"259",2020-10-19,1.6546670982094,1.66976331886454,1.68492714457266
"260",2020-10-20,1.67938891150511,1.69394151454409,1.70855603081376
"261",2020-10-21,1.65523392364939,1.669048921942,1.68292053965612
"262",2020-10-22,1.61069439884311,1.62373361895784,1.63682467943823
